title,url,discoutned_price,normal_price
Printed Yoga Pants Women Sport Leggings Tight Trouser Pencil Sport,https://www.cigabuy.com/printed-yoga-pants-women-sport-leggings-tight-trouser-pencil-sport-p-19618.html,$3.84,$16.35 
1.4 inch Immunity Monitor Fitness Tracker Waterproof Smart Watch,https://www.cigabuy.com/14-inch-immunity-monitor-fitness-tracker-waterproof-smart-watch-p-19465.html,$14.20,$19.88 
100 LED Solar Light  Solar Lamp Powered Sunlight 3 Modes PIR Motion Sensor,https://www.cigabuy.com/100-led-solar-light-solar-lamp-powered-sunlight-3-modes-pir-motion-sensor-p-19318.html,$3.58,$15.52 
Teclast P10HD 4G Tablets 10.1inch Android 9.0 1920x1200 Octa Core 3GB +32GB,https://www.cigabuy.com/teclast-p10hd-4g-tablets-101inch-android-90-1920x1200-octa-core-3gb-32gb-p-19452.html,$120.87,$237.68 
USB Rechargeable Aluminum Alloy Battery Display Telescopic Zoom LED Flashlight,https://www.cigabuy.com/usb-rechargeable-aluminum-alloy-battery-display-telescopic-zoom-led-flashlight-p-19461.html,$5.50,$19.45 
Universal USB Quick Charge 3.0 Wall Adapter Android Mobile Phone Fast Charger,https://www.cigabuy.com/universal-usb-quick-charge-30-wall-adapter-android-mobile-phone-fast-charger-p-19475.html,$2.10,$5.42 
Biker Gloves Motorcross Full Finger Motorcycle Bicycle Cycling Waterproof Glove,https://www.cigabuy.com/biker-gloves-motorcross-full-finger-motorcycle-bicycle-cycling-waterproof-glove-p-19607.html,$4.46,$19.93 
5.0 Bluetooth Adapter Led Screen Wireless Audio Blue Tooth Transmitter Receiver,https://www.cigabuy.com/50-bluetooth-adapter-led-screen-wireless-audio-blue-tooth-transmitter-receiver-p-19470.html,$8.19,$19.04 
LED Flashlight Waterproof Torch 3 lighting modes Zoomable camping light,https://www.cigabuy.com/led-flashlight-waterproof-torch-3-lighting-modes-zoomable-camping-light-p-20068.html,$2.60,$7.96 
Yangmaile Gaming Keyboard Mechanical Feel G700 LED Rainbow Color Backlight Gamin,https://www.cigabuy.com/yangmaile-gaming-keyboard-mechanical-feel-g700-led-rainbow-color-backlight-gamin-p-19613.html,$7.78,$50.56 
K2 Powerful Bass USB Notebook Stereo Speakers Subwoofer Full Frequency Speaker,https://www.cigabuy.com/k2-powerful-bass-usb-notebook-stereo-speakers-subwoofer-full-frequency-speaker-p-19451.html,$6.74,$46.89 
Transparent Anti Droplet Dust-proof Medical Face Shield Face Cover Mask,https://www.cigabuy.com/transparent-anti-droplet-dust-proof-medical-face-shield-face-cover-mask-p-17899.html,$0.94,$2.37 
USB Blackhead Remover Face Skin Care Deep Pore Cleaner Removal Vacuum Suction,https://www.cigabuy.com/usb-blackhead-remover-face-skin-care-deep-pore-cleaner-removal-vacuum-suction-p-19621.html,$4.88,$18.05 
Mini Electrical Screwdriver power tools 3.6V Rechargeable Cordless Power Drill,https://www.cigabuy.com/mini-electrical-screwdriver-power-tools-36v-rechargeable-cordless-power-drill-p-19576.html,$7.99,$20.82 
W15 TWS Wireless Headphones Bluetooth 5.0 For Waterproof Earbuds,https://www.cigabuy.com/w15-tws-wireless-headphones-bluetooth-50-for-waterproof-earbuds-p-19536.html,$10.84,$20.82 
B9 TWS 5.0 Bluetooth Earbud 8D Stereo Smart Touch Control Wireless Earphones,https://www.cigabuy.com/b9-tws-50-bluetooth-earbud-8d-stereo-smart-touch-control-wireless-earphones-p-19474.html,$8.73,$20.82 
X96Q Android 10.0 TV Box Quad Core Allwinner H313 4K TV Box 2GB RAM 16GB ROM,https://www.cigabuy.com/x96q-android-100-tv-box-quad-core-allwinner-h313-4k-tv-box-2gb-ram-16gb-rom-p-18997.html,$19.34,$45.44 
USB Quick Charge 4 Port Fast Front Back Rear Seat Cars Charging Adapter,https://www.cigabuy.com/usb-quick-charge-4-port-fast-front-back-rear-seat-cars-charging-adapter-p-19476.html,$6.74,$13.23 
Electric Hand Wood Trimmer 6.35mm Laminator Router Woodworking Tool Set,https://www.cigabuy.com/electric-hand-wood-trimmer-635mm-laminator-router-woodworking-tool-set-p-19614.html,$16.27,$99.49 
Women Canvas Bucket Bags Solid Color Cross Body Bag Single-Shoulder Bag Handbag,https://www.cigabuy.com/women-canvas-bucket-bags-solid-color-cross-body-bag-single-shoulder-bag-handbag-p-15323.html,$1.13,$17.00 
Sling Bag Polyhedron Chest Bag Waterproof Shoulder Bag Sports Chest Pack,https://www.cigabuy.com/sling-bag-polyhedron-chest-bag-waterproof-shoulder-bag-sports-chest-pack-p-19471.html,$6.12,$20.82 
New Designer Leather Belt Men Vintage Pin Buckle Belt Soft Belt 120cm,https://www.cigabuy.com/new-designer-leather-belt-men-vintage-pin-buckle-belt-soft-belt-120cm-p-19585.html,$6.33,$20.82 
Wireless Bluetooth Earphone F9 Sports Earphone Gaming Headset LED Power Display,https://www.cigabuy.com/wireless-bluetooth-earphone-f9-sports-earphone-gaming-headset-led-power-display-p-19578.html,$9.64,$20.82 
UV Light USB Mosquito Killer Lamp Electric Fly Mosquito Trap Anti Mosquito Bug,https://www.cigabuy.com/uv-light-usb-mosquito-killer-lamp-electric-fly-mosquito-trap-anti-mosquito-bug-p-20069.html,,
